region,group,question,response,response_clean
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,La salud mental es ignorada personalmente hablando,la salud mental es ignorada
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes,cortes de luz frecuentes
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas personalmente hablando,hay demoras en las citas
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local personalmente hablando,no hay empleo local
Orinoquia,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay empleo local personalmente hablando,no hay empleo local
Pacifico,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada personalmente hablando,la salud mental es ignorada
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades,los jovenes migran por falta de oportunidades
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Cortes de luz frecuentes,cortes de luz frecuentes
Pacifico,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria,no hay participacion comunitaria
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas personalmente hablando,hay demoras en las citas
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable personalmente hablando,falta de acceso al agua potable
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,No hay empleo local personalmente hablando,no hay empleo local
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Hay demoras en las citas en mi comunidad,hay demoras en las citas
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable (segun mi experiencia),falta de acceso al agua potable
Pacifico,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca personalmente hablando,no hay atencion medica cerca
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado personalmente hablando,viviendas en mal estado
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable (segun mi experiencia),falta de acceso al agua potable
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca,no hay atencion medica cerca
Orinoquia,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos,no hay apoyo a emprendimientos
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria en mi comunidad,no hay participacion comunitaria
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes,cortes de luz frecuentes
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras personalmente hablando,no hay recoleccion de basuras
Orinoquia,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia),nos sentimos abandonados
Pacifico,Pueblos Indigenas,Como evalua la atencion en salud mental en su zona?,No hay apoyo a emprendimientos (segun mi experiencia),no hay apoyo a emprendimientos
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos (segun mi experiencia),no hay apoyo a emprendimientos
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de confianza en las instituciones personalmente hablando,falta de confianza en las instituciones
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales en mi comunidad,faltan medicamentos esenciales
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas (segun mi experiencia),hay demoras en las citas
Pacifico,Jovenes,Que necesidades prioritarias existen en su comunidad?,La economia informal domina,la economia informal domina
Amazonas,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,No hay recoleccion de basuras,no hay recoleccion de basuras
Caribe,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales,faltan medicamentos esenciales
Andina,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria,no hay participacion comunitaria
Amazonas,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Faltan medicamentos esenciales,faltan medicamentos esenciales
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,La salud mental es ignorada en mi comunidad,la salud mental es ignorada
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,Hay demoras en las citas en mi comunidad,hay demoras en las citas
Pacifico,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes en mi comunidad,cortes de luz frecuentes
Andina,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado,viviendas en mal estado
Caribe,Mujeres,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes,cortes de luz frecuentes
Amazonas,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Falta de confianza en las instituciones,falta de confianza en las instituciones
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,No hay recoleccion de basuras en mi comunidad,no hay recoleccion de basuras
