region,group,question,response,Topic,Topic_Probability
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,La salud mental es ignorada personalmente hablando,13,1.0
Orinoquia,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes,10,1.0
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,Hay demoras en las citas personalmente hablando,3,1.0
Caribe,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local personalmente hablando,14,1.0
Orinoquia,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay empleo local personalmente hablando,14,1.0
Pacifico,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,La salud mental es ignorada personalmente hablando,13,0.8183399060126799
Pacifico,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Los jovenes migran por falta de oportunidades,5,0.8080242752750106
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,Cortes de luz frecuentes,10,1.0
Pacifico,Personas Mayores,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria,0,1.0
Pacifico,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas personalmente hablando,3,1.0
Caribe,Jovenes,Que problemas enfrenta con el acceso a servicios publicos?,Falta de acceso al agua potable personalmente hablando,2,0.014149623095291485
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,No hay empleo local personalmente hablando,14,0.649463781374166
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Hay demoras en las citas en mi comunidad,3,1.0
Orinoquia,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable (segun mi experiencia),2,1.0
Pacifico,Jovenes,Que necesidades prioritarias existen en su comunidad?,No hay atencion medica cerca personalmente hablando,6,0.7867200012257086
Pacifico,Jovenes,Como evalua la atencion en salud mental en su zona?,Viviendas en mal estado personalmente hablando,7,1.0
Andina,Jovenes,Como evalua la atencion en salud mental en su zona?,Falta de acceso al agua potable (segun mi experiencia),2,1.0
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,No hay atencion medica cerca,6,1.0
Orinoquia,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,No hay apoyo a emprendimientos,12,1.0
Caribe,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,No hay participacion comunitaria en mi comunidad,0,0.38333493567833493
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes,10,1.0
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay recoleccion de basuras personalmente hablando,11,1.0
Orinoquia,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Nos sentimos abandonados (segun mi experiencia),4,1.0
