Topic,Response,Probability
11,La salud mental es ignorada personalmente hablando,
11,La salud mental es ignorada personalmente hablando,
11,La salud mental es ignorada en mi comunidad,
7,Cortes de luz frecuentes,
7,Cortes de luz frecuentes,
7,Cortes de luz frecuentes,
1,Hay demoras en las citas personalmente hablando,
1,Hay demoras en las citas personalmente hablando,
1,Hay demoras en las citas en mi comunidad,
13,No hay empleo local personalmente hablando,
13,No hay empleo local personalmente hablando,
13,No hay empleo local personalmente hablando,
3,Los jovenes migran por falta de oportunidades,
3,Los jovenes migran por falta de oportunidades en mi comunidad,
3,Los jovenes migran por falta de oportunidades,
10,No hay participacion comunitaria,
10,No hay participacion comunitaria,
10,No hay participacion comunitaria,
16,Falta de acceso al agua potable personalmente hablando,
16,Falta de acceso al agua potable personalmente hablando,
16,Falta de acceso al agua potable personalmente hablando,
9,Falta de acceso al agua potable (segun mi experiencia),
9,Falta de acceso al agua potable (segun mi experiencia),
9,Falta de acceso al agua potable,
14,No hay atencion medica cerca personalmente hablando,
14,No hay atencion medica cerca,
14,No hay atencion medica cerca,
4,Viviendas en mal estado personalmente hablando,
4,Viviendas en mal estado,
4,Viviendas en mal estado (segun mi experiencia),
12,No hay apoyo a emprendimientos,
12,No hay apoyo a emprendimientos (segun mi experiencia),
12,No hay apoyo a emprendimientos (segun mi experiencia),
15,No hay participacion comunitaria en mi comunidad,
15,No hay participacion comunitaria personalmente hablando,
15,No hay participacion comunitaria en mi comunidad,
8,No hay recoleccion de basuras personalmente hablando,
8,No hay recoleccion de basuras,
8,No hay recoleccion de basuras en mi comunidad,
2,Nos sentimos abandonados (segun mi experiencia),
2,Nos sentimos abandonados (segun mi experiencia),
2,Nos sentimos abandonados (segun mi experiencia),
6,Falta de confianza en las instituciones personalmente hablando,
6,Falta de confianza en las instituciones,
6,Falta de confianza en las instituciones,
0,Faltan medicamentos esenciales en mi comunidad,
0,Faltan medicamentos esenciales,
0,Faltan medicamentos esenciales,
5,La economia informal domina,
5,La economia informal domina en mi comunidad,
5,La economia informal domina personalmente hablando,
17,Nadie responde a nuestras solicitudes en mi comunidad,
17,Nadie responde a nuestras solicitudes (segun mi experiencia),
17,Nadie responde a nuestras solicitudes en mi comunidad,
18,Nadie responde a nuestras solicitudes personalmente hablando,
18,Nadie responde a nuestras solicitudes personalmente hablando,
18,Nadie responde a nuestras solicitudes,
