Topic,Summary
13,La salud mental es ignorada personalmente hablando | La salud mental es ignorada (segun mi experiencia) | La salud mental es ignorada (segun mi experiencia)
10,Cortes de luz frecuentes | Cortes de luz frecuentes | Cortes de luz frecuentes
3,Hay demoras en las citas personalmente hablando | Hay demoras en las citas personalmente hablando | Hay demoras en las citas en mi comunidad
14,No hay empleo local personalmente hablando | No hay empleo local personalmente hablando | No hay empleo local
5,Los jovenes migran por falta de oportunidades | Los jovenes migran por falta de oportunidades (segun mi experiencia) | Los jovenes migran por falta de oportunidades (segun mi experiencia)
0,No hay participacion comunitaria | No hay participacion comunitaria | No hay participacion comunitaria
2,Falta de acceso al agua potable (segun mi experiencia) | Falta de acceso al agua potable (segun mi experiencia) | Falta de acceso al agua potable
6,No hay atencion medica cerca | No hay atencion medica cerca | No hay atencion medica cerca
7,Viviendas en mal estado personalmente hablando | Viviendas en mal estado | Viviendas en mal estado
12,No hay apoyo a emprendimientos | No hay apoyo a emprendimientos (segun mi experiencia) | No hay apoyo a emprendimientos (segun mi experiencia)
11,No hay recoleccion de basuras personalmente hablando | No hay recoleccion de basuras en mi comunidad | No hay recoleccion de basuras personalmente hablando
4,Nos sentimos abandonados (segun mi experiencia) | Nos sentimos abandonados (segun mi experiencia) | Nos sentimos abandonados
9,Falta de confianza en las instituciones | Falta de confianza en las instituciones | Falta de confianza en las instituciones
1,Faltan medicamentos esenciales en mi comunidad | Faltan medicamentos esenciales | Faltan medicamentos esenciales personalmente hablando
8,La economia informal domina | La economia informal domina personalmente hablando | La economia informal domina
